# call_id> primární klíč
# finish_time> čas ukončení hovoru
# length> délka hovoru
# time_block> časový blok po 15 minutách
# workstation_address> ID pracovní stanice (počítače)
# target_time_block_id>
# source_time_block_id
# target_service_cdn>
# source_service_cdn>
# source_service_id>
# target_service_id>
# operator> telefonní operátor (O2, T-mobile...)
# wup_question_id> z ope_wup_logs
# wup_answer_id z ope_wup_logs

"call_id","finish_time","length","time_block","workstation_address","target_time_block_id","source_time_block_id","target_service_cdn","source_service_cdn","source_service_id","target_service_id","operator","wup_question_id","wup_answer_id"
"","2014-02-10 10:00:00","23","2014-02-10 10:00:00","33803","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2013-12-12 20:45:00","42","2013-12-12 20:45:00","33706","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001015431409245057","2014-08-28 18:57:38","26","2014-08-28 18:45:00","33409","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-01-02 00:09:00","96","2014-01-02 00:00:00","34610","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"00001016681406987305","2014-08-02 15:48:26","30","2014-08-02 15:45:00","33503","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-04-23 15:53:00","45","2014-04-23 15:45:00","33703","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-05-23 19:36:00","31","2014-05-23 19:30:00","33506","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"00001140301409151102","2014-08-27 16:51:43","25","2014-08-27 16:45:00","33311","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-05-14 12:33:00","31","2014-05-14 12:30:00","33602","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-01-08 13:46:00","96","2014-01-08 13:45:00","33607","NULL","NULL","12999","12801","7","6","-2","NULL","NULL"
"","2013-12-19 16:05:00","28","2013-12-19 16:00:00","33805","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001113551410243984","2014-09-09 08:26:26","26","2014-09-09 08:15:00","33504","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2013-11-26 07:33:00","119","2013-11-26 07:30:00","33705","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-05-21 12:45:00","84","2014-05-21 12:45:00","33704","NULL","NULL","12999","12801","7","6","-2","NULL","NULL"
"00001149101405064327","2014-07-11 09:38:48","73","2014-07-11 09:30:00","33610","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-01-29 18:04:00","52","2014-01-29 18:00:00","33108","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
